celebrity_name,season,avg_score,score_std,weeks_survived,final_placement,top_3,age,industry,us_born
John O'Hurley,1,8.055555555555555,1.0786937688304221,6,2,True,50,Actor/Actress,True
Kelly Monaco,1,7.111111111111111,1.7682033847599496,6,1,True,29,Actor/Actress,True
Evander Holyfield,1,5.0,0.9428090415820634,3,5,False,42,Athlete,True
Rachel Hunter,1,7.916666666666667,0.9537935951882998,4,4,False,35,Model,False
Joey McIntyre,1,7.033333333333333,0.6944222218666554,5,3,True,32,Singer/Rapper,True
Trista Sutter,1,6.166666666666667,0.37267799624996495,2,6,False,32,TV Personality,True
Tatum O'Neal,2,6.666666666666667,1.1055415967851332,2,9,False,42,Actor/Actress,True
Tia Carrere,2,7.666666666666667,0.8692269873603531,5,6,False,39,Actor/Actress,True
George Hamilton,2,7.222222222222222,0.7856742013183862,6,5,False,66,Actor/Actress,True
Lisa Rinna,2,8.023809523809524,1.159599586846278,7,4,False,42,Actor/Actress,True
Stacy Keibler,2,9.173604166666667,0.9248080487679442,8,3,True,26,Athlete,True
Jerry Rice,2,7.506941666666667,0.8129114106698357,8,2,True,43,Athlete,True
Giselle Fernandez,2,7.666666666666667,0.4714045207910317,3,8,False,44,News Anchor,False
Master P,2,4.166666666666667,1.2133516482134197,4,7,False,35,Singer/Rapper,True
Drew Lachey,2,9.145825,0.5799679712780124,8,1,True,29,Singer/Rapper,True
Kenny Mayne,2,4.333333333333333,0.4714045207910317,1,10,False,46,Sports Broadcaster,True
Harry Hamlin,3,6.666666666666667,0.816496580927726,3,9,False,54,Actor/Actress,True
Vivica A. Fox,3,8.083333333333334,0.759202798262025,4,8,False,42,Actor/Actress,True
Monique Coleman,3,8.3125,0.976947840641113,8,4,False,25,Actor/Actress,True
Joey Lawrence,3,8.62962962962963,1.0592851589685255,9,3,True,30,Actor/Actress,True
Mario Lopez,3,8.955553333333334,1.0860492679841411,10,2,True,32,Actor/Actress,True
Emmitt Smith,3,8.588886666666667,1.070419394048686,10,1,True,37,Athlete,True
Shanna Moakler,3,6.666666666666667,0.9428090415820632,2,10,False,31,Model,True
Willa Ford,3,8.133333333333333,0.9568466729604882,5,7,False,25,Singer/Rapper,True
Sara Evans,3,7.0,1.2110601416389966,5,6,False,35,Singer/Rapper,True
Jerry Springer,3,6.809523809523809,0.9937446073671052,7,5,False,62,TV Personality,False
Tucker Carlson,3,4.0,0.816496580927726,1,11,False,37,TV Personality,True
John Ratzenberger,4,6.357142857142857,0.7889543583705186,7,6,False,59,Actor/Actress,True
Ian Ziering,4,8.092592592592593,0.828173324999922,9,4,False,42,Actor/Actress,True
Clyde Drexler,4,5.2,0.7483314773547882,5,8,False,44,Athlete,True
Laila Ali,4,8.744439999999999,1.1019586155568637,10,3,True,29,Athlete,True
Apolo Anton Ohno,4,8.961106666666666,1.0098404226851334,10,1,True,24,Athlete,True
Shandi Finnessey,4,6.666666666666667,0.4714045207910317,3,10,False,28,Beauty Pagent,True
Paulina Porizkova,4,6.666666666666667,0.4714045207910317,2,11,False,41,Model,False
Heather Mills,4,7.388888888888889,0.7556372504853023,6,7,False,39,Model,False
Billy Ray Cyrus,4,6.333333333333333,0.9204467514322718,8,5,False,45,Singer/Rapper,True
Joey Fatone,4,8.922216666666666,0.7814152246974004,10,2,True,30,Singer/Rapper,True
Leeza Gibbons,4,6.333333333333333,1.247219128924647,4,9,False,50,TV Personality,True
Cameron Mathison,5,8.083333333333334,0.7728015412913087,8,5,False,38,Actor/Actress,False
