celebrity_name,season,week,weekly_total,weekly_avg,judges_count,alive,eliminated_this_week,weekly_rank,score_percentile,age_group,us_born,week_progress
John O'Hurley,1,1,20.0,6.666666666666667,3,True,False,1.0,83.33333333333334,50+,True,0.16666666666666666
John O'Hurley,1,2,26.0,8.666666666666666,3,True,False,1.0,100.0,50+,True,0.3333333333333333
John O'Hurley,1,3,24.0,8.0,3,True,False,2.0,80.0,50+,True,0.5
John O'Hurley,1,4,21.0,7.0,3,True,False,3.0,50.0,50+,True,0.6666666666666666
John O'Hurley,1,5,27.0,9.0,3,True,False,1.0,100.0,50+,True,0.8333333333333334
John O'Hurley,1,6,27.0,9.0,3,True,False,2.0,50.0,50+,True,1.0
Kelly Monaco,1,1,13.0,4.333333333333333,3,True,False,6.0,16.666666666666664,<30,True,0.16666666666666666
Kelly Monaco,1,2,17.0,5.666666666666667,3,True,False,5.0,33.33333333333333,<30,True,0.3333333333333333
Kelly Monaco,1,3,21.0,7.0,3,True,False,4.0,40.0,<30,True,0.5
Kelly Monaco,1,4,26.0,8.666666666666666,3,True,False,1.0,100.0,<30,True,0.6666666666666666
Kelly Monaco,1,5,23.5,7.833333333333333,3,True,False,2.0,66.66666666666666,<30,True,0.8333333333333334
Kelly Monaco,1,6,27.5,9.166666666666666,3,True,False,1.0,100.0,<30,True,1.0
Evander Holyfield,1,1,18.0,6.0,3,True,False,4.0,41.66666666666667,40-49,True,0.16666666666666666
Evander Holyfield,1,2,14.0,4.666666666666667,3,True,False,6.0,16.666666666666664,40-49,True,0.3333333333333333
Evander Holyfield,1,3,13.0,4.333333333333333,3,True,True,5.0,20.0,40-49,True,0.5
Rachel Hunter,1,1,20.0,6.666666666666667,3,True,False,1.0,83.33333333333334,30-39,False,0.16666666666666666
Rachel Hunter,1,2,24.0,8.0,3,True,False,2.0,83.33333333333334,30-39,False,0.3333333333333333
Rachel Hunter,1,3,26.0,8.666666666666666,3,True,False,1.0,100.0,30-39,False,0.5
Rachel Hunter,1,4,25.0,8.333333333333334,3,True,True,2.0,75.0,30-39,False,0.6666666666666666
Joey McIntyre,1,1,20.0,6.666666666666667,3,True,False,1.0,83.33333333333334,30-39,True,0.16666666666666666
Joey McIntyre,1,2,21.0,7.0,3,True,False,3.0,66.66666666666666,30-39,True,0.3333333333333333
Joey McIntyre,1,3,22.0,7.333333333333333,3,True,False,3.0,60.0,30-39,True,0.5
Joey McIntyre,1,4,20.0,6.666666666666667,3,True,False,4.0,25.0,30-39,True,0.6666666666666666
Joey McIntyre,1,5,22.5,7.5,3,True,False,3.0,33.33333333333333,30-39,True,0.8333333333333334
Trista Sutter,1,1,18.0,6.0,3,True,False,4.0,41.66666666666667,30-39,True,0.16666666666666666
Trista Sutter,1,2,19.0,6.333333333333333,3,True,True,4.0,50.0,30-39,True,0.3333333333333333
Tatum O'Neal,2,1,23.0,7.666666666666667,3,True,False,2.0,85.0,40-49,True,0.125
Tatum O'Neal,2,2,17.0,5.666666666666667,3,True,True,8.0,22.22222222222222,40-49,True,0.25
Tia Carrere,2,1,20.0,6.666666666666667,3,True,False,6.0,50.0,30-39,True,0.125
Tia Carrere,2,2,22.0,7.333333333333333,3,True,False,5.0,50.0,30-39,True,0.25
Tia Carrere,2,3,26.0,8.666666666666666,3,True,False,3.0,75.0,30-39,True,0.375
Tia Carrere,2,4,25.0,8.333333333333334,3,True,False,4.0,57.14285714285714,30-39,True,0.5
Tia Carrere,2,5,22.0,7.333333333333333,3,True,True,6.0,16.666666666666664,30-39,True,0.625
George Hamilton,2,1,18.0,6.0,3,True,False,8.0,30.0,50+,True,0.125
George Hamilton,2,2,22.0,7.333333333333333,3,True,False,5.0,50.0,50+,True,0.25
George Hamilton,2,3,22.0,7.333333333333333,3,True,False,5.0,43.75,50+,True,0.375
George Hamilton,2,4,21.0,7.0,3,True,False,6.0,28.57142857142857,50+,True,0.5
George Hamilton,2,5,24.0,8.0,3,True,False,4.0,50.0,50+,True,0.625
George Hamilton,2,6,23.0,7.666666666666667,3,True,True,4.0,30.0,50+,True,0.75
Lisa Rinna,2,1,19.0,6.333333333333333,3,True,False,7.0,40.0,40-49,True,0.125
Lisa Rinna,2,2,20.0,6.666666666666667,3,True,False,7.0,33.33333333333333,40-49,True,0.25
Lisa Rinna,2,3,25.0,8.333333333333334,3,True,False,4.0,62.5,40-49,True,0.375
Lisa Rinna,2,4,26.0,8.666666666666666,3,True,False,2.0,78.57142857142857,40-49,True,0.5
Lisa Rinna,2,5,25.0,8.333333333333334,3,True,False,3.0,66.66666666666666,40-49,True,0.625
Lisa Rinna,2,6,27.0,9.0,3,True,False,3.0,60.0,40-49,True,0.75
Lisa Rinna,2,7,26.5,8.833333333333334,3,True,True,3.0,50.0,40-49,True,0.875
Stacy Keibler,2,1,22.0,7.333333333333333,3,True,False,4.0,70.0,<30,True,0.125
