celebrity_name,season,week,weekly_total,weekly_avg,judges_count,alive,eliminated_this_week,weekly_rank,score_percentile,age_group,us_born,week_progress,popularity_ratio
John O'Hurley,1,1,20.0,6.666666666666667,3,True,False,1.0,83.33333333333334,50+,True,0.1666666666666666,0.0086455331412103
John O'Hurley,1,2,26.0,8.666666666666666,3,True,False,1.0,100.0,50+,True,0.3333333333333333,0.0086455331412103
John O'Hurley,1,3,24.0,8.0,3,True,False,2.0,80.0,50+,True,0.5,0.0086455331412103
John O'Hurley,1,4,21.0,7.0,3,True,False,3.0,50.0,50+,True,0.6666666666666666,0.0086455331412103
John O'Hurley,1,5,27.0,9.0,3,True,False,1.0,100.0,50+,True,0.8333333333333334,0.0086455331412103
John O'Hurley,1,6,27.0,9.0,3,True,False,2.0,50.0,50+,True,1.0,0.0086455331412103
Kelly Monaco,1,1,13.0,4.333333333333333,3,True,False,6.0,16.666666666666664,<30,True,0.1666666666666666,0.7216642754662841
Kelly Monaco,1,2,17.0,5.666666666666667,3,True,False,5.0,33.33333333333333,<30,True,0.3333333333333333,0.7216642754662841
Kelly Monaco,1,3,21.0,7.0,3,True,False,4.0,40.0,<30,True,0.5,0.7216642754662841
Kelly Monaco,1,4,26.0,8.666666666666666,3,True,False,1.0,100.0,<30,True,0.6666666666666666,0.7216642754662841
Kelly Monaco,1,5,23.5,7.833333333333333,3,True,False,2.0,66.66666666666666,<30,True,0.8333333333333334,0.7216642754662841
Kelly Monaco,1,6,27.5,9.166666666666666,3,True,False,1.0,100.0,<30,True,1.0,0.7216642754662841
Evander Holyfield,1,1,18.0,6.0,3,True,False,4.0,41.66666666666667,40-49,True,0.1666666666666666,0.0043041606886657
Evander Holyfield,1,2,14.0,4.666666666666667,3,True,False,6.0,16.666666666666664,40-49,True,0.3333333333333333,0.0043041606886657
Evander Holyfield,1,3,13.0,4.333333333333333,3,True,True,5.0,20.0,40-49,True,0.5,0.0043041606886657
Rachel Hunter,1,1,20.0,6.666666666666667,3,True,False,1.0,83.33333333333334,30-39,False,0.1666666666666666,0.2338593974175035
Rachel Hunter,1,2,24.0,8.0,3,True,False,2.0,83.33333333333334,30-39,False,0.3333333333333333,0.2338593974175035
Rachel Hunter,1,3,26.0,8.666666666666666,3,True,False,1.0,100.0,30-39,False,0.5,0.2338593974175035
Rachel Hunter,1,4,25.0,8.333333333333334,3,True,True,2.0,75.0,30-39,False,0.6666666666666666,0.2338593974175035
Joey McIntyre,1,1,20.0,6.666666666666667,3,True,False,1.0,83.33333333333334,30-39,True,0.1666666666666666,0.0230547550432276
Joey McIntyre,1,2,21.0,7.0,3,True,False,3.0,66.66666666666666,30-39,True,0.3333333333333333,0.0230547550432276
Joey McIntyre,1,3,22.0,7.333333333333333,3,True,False,3.0,60.0,30-39,True,0.5,0.0230547550432276
Joey McIntyre,1,4,20.0,6.666666666666667,3,True,False,4.0,25.0,30-39,True,0.6666666666666666,0.0230547550432276
Joey McIntyre,1,5,22.5,7.5,3,True,False,3.0,33.33333333333333,30-39,True,0.8333333333333334,0.0230547550432276
Trista Sutter,1,1,18.0,6.0,3,True,False,4.0,41.66666666666667,30-39,True,0.1666666666666666,0.015850144092219
Trista Sutter,1,2,19.0,6.333333333333333,3,True,True,4.0,50.0,30-39,True,0.3333333333333333,0.015850144092219
Tatum O'Neal,2,1,23.0,7.666666666666667,3,True,False,2.0,85.0,40-49,True,0.125,0.0057049714751426
Tatum O'Neal,2,2,17.0,5.666666666666667,3,True,True,8.0,22.22222222222222,40-49,True,0.25,0.0057049714751426
Tia Carrere,2,1,20.0,6.666666666666667,3,True,False,6.0,50.0,30-39,True,0.125,0.0146699266503667
Tia Carrere,2,2,22.0,7.333333333333333,3,True,False,5.0,50.0,30-39,True,0.25,0.0146699266503667
Tia Carrere,2,3,26.0,8.666666666666666,3,True,False,3.0,75.0,30-39,True,0.375,0.0146699266503667
Tia Carrere,2,4,25.0,8.333333333333334,3,True,False,4.0,57.14285714285714,30-39,True,0.5,0.0146699266503667
Tia Carrere,2,5,22.0,7.333333333333333,3,True,True,6.0,16.666666666666664,30-39,True,0.625,0.0146699266503667
George Hamilton,2,1,18.0,6.0,3,True,False,8.0,30.0,50+,True,0.125,0.0435139573070607
George Hamilton,2,2,22.0,7.333333333333333,3,True,False,5.0,50.0,50+,True,0.25,0.0435139573070607
George Hamilton,2,3,22.0,7.333333333333333,3,True,False,5.0,43.75,50+,True,0.375,0.0435139573070607
George Hamilton,2,4,21.0,7.0,3,True,False,6.0,28.57142857142857,50+,True,0.5,0.0435139573070607
George Hamilton,2,5,24.0,8.0,3,True,False,4.0,50.0,50+,True,0.625,0.0435139573070607
George Hamilton,2,6,23.0,7.666666666666667,3,True,True,4.0,30.0,50+,True,0.75,0.0435139573070607
Lisa Rinna,2,1,19.0,6.333333333333333,3,True,False,7.0,40.0,40-49,True,0.125,0.0911330049261083
Lisa Rinna,2,2,20.0,6.666666666666667,3,True,False,7.0,33.33333333333333,40-49,True,0.25,0.0911330049261083
Lisa Rinna,2,3,25.0,8.333333333333334,3,True,False,4.0,62.5,40-49,True,0.375,0.0911330049261083
Lisa Rinna,2,4,26.0,8.666666666666666,3,True,False,2.0,78.57142857142857,40-49,True,0.5,0.0911330049261083
Lisa Rinna,2,5,25.0,8.333333333333334,3,True,False,3.0,66.66666666666666,40-49,True,0.625,0.0911330049261083
Lisa Rinna,2,6,27.0,9.0,3,True,False,3.0,60.0,40-49,True,0.75,0.0911330049261083
Lisa Rinna,2,7,26.5,8.833333333333334,3,True,True,3.0,50.0,40-49,True,0.875,0.0911330049261083
Stacy Keibler,2,1,22.0,7.333333333333333,3,True,False,4.0,70.0,<30,True,0.125,0.2607986960065199
Stacy Keibler,2,2,29.0,9.666666666666666,3,True,False,1.0,100.0,<30,True,0.25,0.2607986960065199
Stacy Keibler,2,3,27.0,9.0,3,True,False,1.0,93.75,<30,True,0.375,0.2607986960065199
Stacy Keibler,2,4,26.0,8.666666666666666,3,True,False,2.0,78.57142857142857,<30,True,0.5,0.2607986960065199
Stacy Keibler,2,5,30.0,10.0,3,True,False,1.0,100.0,<30,True,0.625,0.2607986960065199
Stacy Keibler,2,6,30.0,10.0,3,True,False,1.0,90.0,<30,True,0.75,0.2607986960065199
Stacy Keibler,2,7,27.5,9.166666666666666,3,True,False,1.0,87.5,<30,True,0.875,0.2607986960065199
Stacy Keibler,2,8,28.6665,9.5555,3,True,False,2.0,66.66666666666666,<30,True,1.0,0.2607986960065199
Jerry Rice,2,1,21.0,7.0,3,True,False,5.0,60.0,40-49,True,0.125,0.0456397718011409
Jerry Rice,2,2,23.0,7.666666666666667,3,True,False,4.0,66.66666666666666,40-49,True,0.25,0.0456397718011409
Jerry Rice,2,3,19.0,6.333333333333333,3,True,False,7.0,25.0,40-49,True,0.375,0.0456397718011409
Jerry Rice,2,4,24.0,8.0,3,True,False,5.0,42.85714285714285,40-49,True,0.5,0.0456397718011409
Jerry Rice,2,5,23.0,7.666666666666667,3,True,False,5.0,33.33333333333333,40-49,True,0.625,0.0456397718011409
Jerry Rice,2,6,23.0,7.666666666666667,3,True,False,4.0,30.0,40-49,True,0.75,0.0456397718011409
Jerry Rice,2,7,20.5,6.833333333333333,3,True,False,4.0,25.0,40-49,True,0.875,0.0456397718011409
Jerry Rice,2,8,26.666600000000003,8.888866666666667,3,True,False,3.0,33.33333333333333,40-49,True,1.0,0.0456397718011409
Giselle Fernandez,2,1,23.0,7.666666666666667,3,True,False,2.0,85.0,40-49,False,0.125,0.0162999185004074
Giselle Fernandez,2,2,24.0,8.0,3,True,False,3.0,77.77777777777779,40-49,False,0.25,0.0162999185004074
Giselle Fernandez,2,3,22.0,7.333333333333333,3,True,True,5.0,43.75,40-49,False,0.375,0.0162999185004074
Master P,2,1,12.0,4.0,3,True,False,10.0,10.0,30-39,True,0.125,0.0285248573757131
Master P,2,2,16.0,5.333333333333333,3,True,False,9.0,11.11111111111111,30-39,True,0.25,0.0285248573757131
Master P,2,3,14.0,4.666666666666667,3,True,False,8.0,12.5,30-39,True,0.375,0.0285248573757131
Master P,2,4,8.0,2.6666666666666665,3,True,True,7.0,14.285714285714285,30-39,True,0.5,0.0285248573757131
Drew Lachey,2,1,24.0,8.0,3,True,False,1.0,100.0,<30,True,0.125,0.0254515599343185
Drew Lachey,2,2,27.0,9.0,3,True,False,2.0,88.88888888888889,<30,True,0.25,0.0254515599343185
