season,premiere,finale,viewers
1,13.48,22.36,17.92
2,17.46,27.23,18.64
3,20.22,27.51,20.7
4,21.8,22.96,20
5,21.25,24.87,21.67
6,21.15,20.12,19.58
7,21.34,20.65,19.77
8,22.83,20.31,16.31
9,17.79,19.29,19.73
10,24.19,18.4,15.3
11,21.3,24.13,21.93
12,22.65,21.42,18.61
13,19.03,19.45,18.24
14,18.79,17.75,16.08
15,14.11,16.73,14.85
16,17.06,15.2,13.78
17,16.04,14.75,15.2
18,15.44,15.07,15.255
19,13.64,15.98,14.73
20,14.16,13.49,10.82
21,13.13,13.49,13.44
22,12.46,10.49,11.475
23,12.19,10.97,12.38
24,12.09,8.91,10.5
25,10.71,9.2,10.6
26,8.48,8.77,8.625
27,7.68,7.9,8.68
28,8.07,7.79,7.84
29,8.12,6.41,7.09
30,5.47,5.64,6.36
31,N/A,N/A,6.125
32,4.78,5.5,5.89
33,4.97,6.36,5.94
34,5.28,9.43,7.355
