season,week,celebrity_name,vote_mean,system_type
1,1,John O'Hurley,0.11490347373101008,Rank
1,1,Kelly Monaco,0.4055275885464371,Rank
1,1,Evander Holyfield,0.10521114278575792,Rank
1,1,Rachel Hunter,0.1464440584258414,Rank
1,1,Joey McIntyre,0.11817326578032672,Rank
1,1,Trista Sutter,0.10974047073062604,Rank
1,2,John O'Hurley,0.11418827936613848,Rank
1,2,Kelly Monaco,0.40906657009608693,Rank
1,2,Evander Holyfield,0.18244883801766096,Rank
1,2,Rachel Hunter,0.13612445283962915,Rank
1,2,Joey McIntyre,0.11286538311181378,Rank
1,2,Trista Sutter,0.045306476568669755,Rank
1,3,John O'Hurley,0.14006664294624419,Rank
1,3,Kelly Monaco,0.4582490787490075,Rank
1,3,Evander Holyfield,0.08798466131258251,Rank
1,3,Rachel Hunter,0.1785031628442719,Rank
1,3,Joey McIntyre,0.1351964541478931,Rank
1,4,John O'Hurley,0.3201191957515928,Rank
1,4,Kelly Monaco,0.23532687441503194,Rank
1,4,Rachel Hunter,0.12785893594604195,Rank
1,4,Joey McIntyre,0.3166949938873332,Rank
1,5,John O'Hurley,0.2131923111262241,Rank
1,5,Kelly Monaco,0.5942081300996919,Rank
1,5,Joey McIntyre,0.1925995587740835,Rank
1,6,John O'Hurley,0.28905637678780954,Rank
1,6,Kelly Monaco,0.7109436232121878,Rank
2,1,Tatum O'Neal,0.1020050141151954,Rank
2,1,Tia Carrere,0.09740371447377293,Rank
2,1,George Hamilton,0.1069036598597753,Rank
2,1,Lisa Rinna,0.10524312292698058,Rank
2,1,Stacy Keibler,0.14180157550355918,Rank
2,1,Jerry Rice,0.09965256578377037,Rank
2,1,Giselle Fernandez,0.09945973594848546,Rank
2,1,Master P,0.11711069060373333,Rank
2,1,Drew Lachey,0.10338443528869966,Rank
2,1,Kenny Mayne,0.027035485496027814,Rank
2,2,Tatum O'Neal,0.038630243985854296,Rank
2,2,Tia Carrere,0.107962717476195,Rank
2,2,George Hamilton,0.11009337065432431,Rank
2,2,Lisa Rinna,0.11771098827728493,Rank
2,2,Stacy Keibler,0.16987745811943794,Rank
2,2,Jerry Rice,0.10964387791955324,Rank
2,2,Giselle Fernandez,0.10788212471894193,Rank
2,2,Master P,0.1240789174990673,Rank
2,2,Drew Lachey,0.11412030134934079,Rank
2,3,Tia Carrere,0.11306722248858715,Rank
2,3,George Hamilton,0.11755867066290153,Rank
2,3,Lisa Rinna,0.12965626304367406,Rank
2,3,Stacy Keibler,0.16073873214022882,Rank
2,3,Jerry Rice,0.16875610866380272,Rank
2,3,Giselle Fernandez,0.03382693139442361,Rank
2,3,Master P,0.1629426543195584,Rank
2,3,Drew Lachey,0.11345341728682287,Rank
2,4,Tia Carrere,0.14510300659622408,Rank
2,4,George Hamilton,0.16526504607402256,Rank
2,4,Lisa Rinna,0.14631832980474405,Rank
2,4,Stacy Keibler,0.19595850724072236,Rank
2,4,Jerry Rice,0.15097480531319815,Rank
2,4,Master P,0.049010423384763024,Rank
2,4,Drew Lachey,0.14736988158632547,Rank
2,5,Tia Carrere,0.09001029773684484,Rank
2,5,George Hamilton,0.16496358851092183,Rank
2,5,Lisa Rinna,0.16841267331185497,Rank
2,5,Stacy Keibler,0.22856320827523466,Rank
2,5,Jerry Rice,0.17516679285773146,Rank
2,5,Drew Lachey,0.17288343930741298,Rank
2,6,George Hamilton,0.09714325512377325,Rank
2,6,Lisa Rinna,0.20676287222287248,Rank
2,6,Stacy Keibler,0.2631388335920519,Rank
2,6,Jerry Rice,0.23589846758345798,Rank
2,6,Drew Lachey,0.19705657147784422,Rank
2,7,Lisa Rinna,0.14904699415798314,Rank
