season,week,actual_elim,rank_pred,pct_pred,match_rank,match_pct,bias_metric_rank,bias_metric_pct
1,1,,Evander Holyfield,Evander Holyfield,False,False,0.7664233574628376,3.0085485480912144
1,2,Trista Sutter,Trista Sutter,Trista Sutter,True,True,0.9999999996571428,2.507333670657156
1,3,Evander Holyfield,Evander Holyfield,Evander Holyfield,True,True,0.9999999995,2.4602825935126043
1,4,Rachel Hunter,Rachel Hunter,Rachel Hunter,True,True,0.9999999991999999,4.695145112379957
1,5,,Joey McIntyre,Joey McIntyre,False,False,0.9999999985000001,12.741276813021544
1,6,,John O'Hurley,John O'Hurley,False,False,0.9999999959999999,915.7991965905313
2,1,Kenny Mayne,Kenny Mayne,Kenny Mayne,True,True,0.933257918446464,1.0108709123477129
2,2,Tatum O'Neal,Tatum O'Neal,Tatum O'Neal,True,True,1.0188679243725882,1.315237308464239
2,3,Giselle Fernandez,Giselle Fernandez,Giselle Fernandez,True,True,0.9230769229146238,1.471500724523552
2,4,Master P,Master P,Master P,True,True,0.9074074072015604,0.7194807591271508
2,5,Tia Carrere,Tia Carrere,Tia Carrere,True,True,0.9999999996571428,3.076259610708927
2,6,George Hamilton,George Hamilton,George Hamilton,True,True,1.0869565211483931,3.0215625293644757
2,7,Lisa Rinna,Lisa Rinna,Lisa Rinna,True,True,0.7407407403017833,2.627789590921501
2,8,,Jerry Rice,Jerry Rice,False,False,0.9999999985000001,8.477322907602339
3,1,Tucker Carlson,Tucker Carlson,Tucker Carlson,True,True,0.95727848092102,0.9116099050770476
3,2,Shanna Moakler,Shanna Moakler,Shanna Moakler,True,True,1.16361071915887,3.096633342374921
3,3,Harry Hamlin,Emmitt Smith,Harry Hamlin,False,True,1.007462686414917,4.1082029805058236
3,4,Vivica A. Fox,Vivica A. Fox,Vivica A. Fox,True,True,1.0803858518677019,3.8299578455566103
3,5,Willa Ford,Jerry Springer,Willa Ford,False,True,0.7368421051274238,19.80371983659246
3,6,,Jerry Springer,Jerry Springer,False,False,0.9999999995,0.5548827485561793
3,7,Jerry Springer,Jerry Springer,Jerry Springer,True,True,0.7812499996948242,7.158546973577834
3,8,Monique Coleman,Monique Coleman,Monique Coleman,True,True,1.0526315780609417,78.03850613008615
3,9,,Emmitt Smith,Emmitt Smith,False,False,666666666.6666666,203312.366514201
3,10,,Emmitt Smith,Emmitt Smith,False,False,249999999.99999997,698539.3221057535
4,1,,Billy Ray Cyrus,Billy Ray Cyrus,False,False,0.9512578615447311,0.2357752832139687
4,2,Paulina Porizkova,Shandi Finnessey,Paulina Porizkova,False,True,1.1393596985519185,2.819997287865162
4,3,Shandi Finnessey,John Ratzenberger,Shandi Finnessey,False,True,0.7753759397767505,3.195262571094974
4,4,Leeza Gibbons,Leeza Gibbons,Leeza Gibbons,True,True,1.1203319500191975,0.9187531356845918
4,5,Clyde Drexler,Clyde Drexler,Clyde Drexler,True,True,0.9999999998095238,0.6341362681767552
4,6,Heather Mills,Heather Mills,Heather Mills,True,True,0.8521739128619281,2.411865546616415
4,7,John Ratzenberger,John Ratzenberger,John Ratzenberger,True,True,0.83999999975808,2.0689172062551355
4,8,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,True,True,0.9999999995,1.91547925149782
4,9,Ian Ziering,Ian Ziering,Ian Ziering,True,True,0.7407407403017833,277.84325793491996
4,10,,Joey Fatone,Laila Ali,False,False,0.9999999985000001,0.08339798765582668
5,1,Josie Maran,Josie Maran,Josie Maran,True,True,1.0293941210868427,1.711251189231241
5,2,Albert Reed,Albert Reed,Albert Reed,True,True,1.2099999998535902,1.8730625428305319
5,3,Wayne Newton,Wayne Newton,Wayne Newton,True,True,0.7864632983044363,1.8405500649198256
5,4,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,True,True,0.9374999998681641,5.057553312284324
5,5,Mark Cuban,Mark Cuban,Mark Cuban,True,True,1.1199999997610666,2.75695690843444
5,6,Sabrina Bryan,Sabrina Bryan,Sabrina Bryan,True,True,1.0425531912176322,4.393922995870174
5,7,Jane Seymour,Jane Seymour,Jane Seymour,True,True,1.0096153842659024,76.10714627144985
5,8,Cameron Mathison,Cameron Mathison,Cameron Mathison,True,True,0.9999999995,14.201876898548704
5,9,Jennie Garth,Jennie Garth,Jennie Garth,True,True,0.7407407403017833,71.67068053013976
5,10,,Helio Castroneves,Marie Osmond,False,False,0.9999999985000001,0.052621582900021883
6,1,,Penn Jillette,Monica Seles,False,False,1.0293941210868431,10.704861966312867
6,2,Monica Seles,Monica Seles,Monica Seles,True,True,0.9151999999297126,10.419759341011398
6,3,Steve Guttenberg,Steve Guttenberg,Steve Guttenberg,True,True,1.4006791169099015,27.903161373789008
6,4,Adam Carolla,Adam Carolla,Adam Carolla,True,True,0.9963099629507359,20.455488182612413
6,5,Priscilla Presley,Priscilla Presley,Priscilla Presley,True,True,0.965517241201744,31.880173101204186
6,6,Marlee Matlin,Marlee Matlin,Marlee Matlin,True,True,1.1264367812919804,33.17808145932296
6,7,Shannon Elizabeth,Shannon Elizabeth,Shannon Elizabeth,True,True,1.1413043473794895,118.52309370235206
6,8,Mario,Mario,Mario,True,True,0.9999999995,6.769641955770839
