season,week,celebrity_name,judge_score,fan_vote_mean,rank_based_rank,pct_based_rank,current_system,current_system_rank,opposing_system,opposing_system_rank
1,1,John O'Hurley,20.0,0.1445107823922352,3,4,Rank,1,Percent,4
1,1,Kelly Monaco,13.0,0.247103119020578,4,2,Rank,6,Percent,2
1,1,Evander Holyfield,18.0,0.1369117045247014,6,6,Rank,4,Percent,6
1,1,Rachel Hunter,20.0,0.1850965116139421,1,1,Rank,1,Percent,1
1,1,Joey McIntyre,20.0,0.1475908650577781,2,3,Rank,1,Percent,3
1,1,Trista Sutter,18.0,0.1387870173907621,5,5,Rank,4,Percent,5
1,2,John O'Hurley,26.0,0.1467204917649035,1,3,Rank,1,Percent,3
1,2,Kelly Monaco,17.0,0.2522337302961128,3,1,Rank,5,Percent,1
1,2,Evander Holyfield,14.0,0.1999199363332686,4,5,Rank,6,Percent,5
1,2,Rachel Hunter,24.0,0.1755553450669341,1,2,Rank,2,Percent,2
1,2,Joey McIntyre,21.0,0.1460633899635551,4,4,Rank,3,Percent,4
1,2,Trista Sutter,19.0,0.0795071065752279,6,6,Rank,4,Percent,6
1,3,John O'Hurley,24.0,0.1764617469732688,2,3,Rank,2,Percent,3
1,3,Kelly Monaco,21.0,0.3096211536129959,2,1,Rank,4,Percent,1
1,3,Evander Holyfield,13.0,0.1138593105810635,5,5,Rank,5,Percent,5
1,3,Rachel Hunter,26.0,0.2286873656741316,1,2,Rank,1,Percent,2
1,3,Joey McIntyre,22.0,0.1713704231585404,4,4,Rank,3,Percent,4
1,4,John O'Hurley,21.0,0.3058780577414703,1,1,Rank,3,Percent,1
1,4,Kelly Monaco,26.0,0.2275632158257354,1,3,Rank,1,Percent,3
1,4,Rachel Hunter,25.0,0.1617328835303292,3,4,Rank,2,Percent,4
1,4,Joey McIntyre,20.0,0.304825842902467,3,2,Rank,4,Percent,2
1,5,John O'Hurley,27.0,0.2777860335656524,1,2,Rank,1,Percent,2
1,5,Kelly Monaco,23.5,0.4661558421138339,1,1,Rank,2,Percent,1
1,5,Joey McIntyre,22.5,0.2560581243205186,3,3,Rank,3,Percent,3
1,6,John O'Hurley,27.0,0.3611793879148632,2,2,Rank,2,Percent,2
1,6,Kelly Monaco,27.5,0.6388206120851391,1,1,Rank,1,Percent,1
2,1,Tatum O'Neal,23.0,0.1021836111863773,4,4,Rank,2,Percent,4
2,1,Tia Carrere,20.0,0.0967591723530044,9,7,Rank,6,Percent,7
2,1,George Hamilton,18.0,0.1041250838919623,6,8,Rank,8,Percent,8
2,1,Lisa Rinna,19.0,0.1052780698840007,5,6,Rank,7,Percent,6
2,1,Stacy Keibler,22.0,0.1302872543583866,2,1,Rank,4,Percent,1
2,1,Jerry Rice,21.0,0.1021509290753197,6,5,Rank,5,Percent,5
2,1,Giselle Fernandez,23.0,0.1030082082419511,3,3,Rank,2,Percent,3
2,1,Master P,12.0,0.1044592949467011,8,9,Rank,10,Percent,9
2,1,Drew Lachey,24.0,0.1069560339702047,1,2,Rank,1,Percent,2
2,1,Kenny Mayne,13.0,0.0447923420920922,10,10,Rank,9,Percent,10
2,2,Tatum O'Neal,17.0,0.0581857513294473,9,9,Rank,8,Percent,9
2,2,Tia Carrere,22.0,0.1067347982759996,7,6,Rank,5,Percent,6
2,2,George Hamilton,22.0,0.1099427679235109,6,5,Rank,5,Percent,5
2,2,Lisa Rinna,20.0,0.1159838966108632,5,7,Rank,7,Percent,7
2,2,Stacy Keibler,29.0,0.1535101837184989,1,1,Rank,1,Percent,1
2,2,Jerry Rice,23.0,0.1124594606845203,3,4,Rank,4,Percent,4
2,2,Giselle Fernandez,24.0,0.111317843836676,4,3,Rank,3,Percent,3
2,2,Master P,16.0,0.1121339043578945,8,8,Rank,9,Percent,8
2,2,Drew Lachey,27.0,0.1197313932625923,2,2,Rank,2,Percent,2
2,3,Tia Carrere,26.0,0.1186949256701583,5,4,Rank,3,Percent,4
2,3,George Hamilton,22.0,0.1193057370653956,6,6,Rank,5,Percent,6
2,3,Lisa Rinna,25.0,0.1313546880671377,3,3,Rank,4,Percent,3
2,3,Stacy Keibler,27.0,0.1551552755897378,1,1,Rank,1,Percent,1
2,3,Jerry Rice,19.0,0.1507591335615284,4,5,Rank,7,Percent,5
2,3,Giselle Fernandez,22.0,0.0591430877380249,8,8,Rank,5,Percent,8
2,3,Master P,14.0,0.1435362388449987,6,7,Rank,8,Percent,7
2,3,Drew Lachey,27.0,0.1220509134630233,2,2,Rank,1,Percent,2
2,4,Tia Carrere,25.0,0.1430041425558022,4,4,Rank,4,Percent,4
2,4,George Hamilton,21.0,0.1495404726431187,4,6,Rank,6,Percent,6
2,4,Lisa Rinna,26.0,0.157252860460532,2,3,Rank,2,Percent,3
2,4,Stacy Keibler,26.0,0.1833486507125842,1,1,Rank,2,Percent,1
2,4,Jerry Rice,24.0,0.1474848821410742,4,5,Rank,5,Percent,5
2,4,Master P,8.0,0.0659092731259674,7,7,Rank,7,Percent,7
2,4,Drew Lachey,28.0,0.1534597183609163,2,2,Rank,1,Percent,2
2,5,Tia Carrere,22.0,0.1104890477241957,6,6,Rank,6,Percent,6
2,5,George Hamilton,24.0,0.1631652209501854,5,5,Rank,4,Percent,5
2,5,Lisa Rinna,25.0,0.1714433832946112,2,3,Rank,3,Percent,3
2,5,Stacy Keibler,30.0,0.2173604075397778,1,1,Rank,1,Percent,1
2,5,Jerry Rice,23.0,0.170925249470126,4,4,Rank,5,Percent,4
2,5,Drew Lachey,27.0,0.1666166910210991,3,2,Rank,2,Percent,2
2,6,George Hamilton,23.0,0.1242037574561724,5,5,Rank,4,Percent,5
2,6,Lisa Rinna,27.0,0.208493757445922,3,3,Rank,3,Percent,3
