season,week,celebrity_name,estimated_vote_share,judge_rank,judge_score,popularity_ratio,is_eliminated
1,1,John O'Hurley,0.14474854684087876,1.0,20.0,0.0086455331412103,False
1,1,Kelly Monaco,0.24716202118157823,6.0,13.0,0.7216642754662841,False
1,1,Evander Holyfield,0.13680544950092413,4.0,18.0,0.0043041606886657,False
1,1,Rachel Hunter,0.1851844278083799,1.0,20.0,0.2338593974175035,False
1,1,Joey McIntyre,0.14710179377577476,1.0,20.0,0.0230547550432276,False
1,1,Trista Sutter,0.1389977608924656,4.0,18.0,0.015850144092219,False
1,2,John O'Hurley,0.14659228428712834,1.0,26.0,0.0086455331412103,False
1,2,Kelly Monaco,0.25277286340653066,5.0,17.0,0.7216642754662841,False
1,2,Evander Holyfield,0.1996367103727004,6.0,14.0,0.0043041606886657,False
1,2,Rachel Hunter,0.17595998308700825,2.0,24.0,0.2338593974175035,False
1,2,Joey McIntyre,0.14567414567704048,3.0,21.0,0.0230547550432276,False
1,2,Trista Sutter,0.07936401316959375,4.0,19.0,0.015850144092219,True
1,3,John O'Hurley,0.17637412772510228,2.0,24.0,0.0086455331412103,False
1,3,Kelly Monaco,0.3097785047361005,4.0,21.0,0.7216642754662841,False
1,3,Evander Holyfield,0.11371726518650183,5.0,13.0,0.0043041606886657,True
1,3,Rachel Hunter,0.22904505789553511,1.0,26.0,0.2338593974175035,False
1,3,Joey McIntyre,0.17108504445675274,3.0,22.0,0.0230547550432276,False
1,4,John O'Hurley,0.3052009420092906,3.0,21.0,0.0086455331412103,False
1,4,Kelly Monaco,0.22777839537492497,1.0,26.0,0.7216642754662841,False
1,4,Rachel Hunter,0.16231162173736205,2.0,25.0,0.2338593974175035,True
1,4,Joey McIntyre,0.30470904087842526,4.0,20.0,0.0230547550432276,False
1,5,John O'Hurley,0.2781037757514264,1.0,27.0,0.0086455331412103,False
1,5,Kelly Monaco,0.466037734696035,2.0,23.5,0.7216642754662841,False
1,5,Joey McIntyre,0.2558584895525307,3.0,22.5,0.0230547550432276,False
1,6,John O'Hurley,0.36219933318401215,2.0,27.0,0.0086455331412103,False
1,6,Kelly Monaco,0.6378006668159926,1.0,27.5,0.7216642754662841,False
2,1,Tatum O'Neal,0.1016772874414937,2.0,23.0,0.0057049714751426,False
2,1,Tia Carrere,0.09654333629170418,6.0,20.0,0.0146699266503667,False
2,1,George Hamilton,0.10403543140551229,8.0,18.0,0.0435139573070607,False
2,1,Lisa Rinna,0.10557302185156184,7.0,19.0,0.0911330049261083,False
2,1,Stacy Keibler,0.13017632555700587,4.0,22.0,0.2607986960065199,False
2,1,Jerry Rice,0.10252280929495046,5.0,21.0,0.0456397718011409,False
2,1,Giselle Fernandez,0.10350667115843891,2.0,23.0,0.0162999185004074,False
2,1,Master P,0.10447369397664666,10.0,12.0,0.0285248573757131,False
2,1,Drew Lachey,0.10673750308986325,1.0,24.0,0.0254515599343185,False
2,1,Kenny Mayne,0.04475391993281876,9.0,13.0,0.0048899755501222,True
2,2,Tatum O'Neal,0.05819557107777749,8.0,17.0,0.0057049714751426,True
2,2,Tia Carrere,0.10654112490362545,5.0,22.0,0.0146699266503667,False
2,2,George Hamilton,0.11030348146698449,5.0,22.0,0.0435139573070607,False
2,2,Lisa Rinna,0.11630934331109163,7.0,20.0,0.0911330049261083,False
2,2,Stacy Keibler,0.1533307526585493,1.0,29.0,0.2607986960065199,False
2,2,Jerry Rice,0.11212172220666751,4.0,23.0,0.0456397718011409,False
2,2,Giselle Fernandez,0.11149918964444436,3.0,24.0,0.0162999185004074,False
2,2,Master P,0.11215227193318576,9.0,16.0,0.0285248573757131,False
2,2,Drew Lachey,0.11954654279767378,2.0,27.0,0.0254515599343185,False
2,3,Tia Carrere,0.11859764244673139,3.0,26.0,0.0146699266503667,False
2,3,George Hamilton,0.11935230384246386,5.0,22.0,0.0435139573070607,False
2,3,Lisa Rinna,0.1311132543927669,4.0,25.0,0.0911330049261083,False
2,3,Stacy Keibler,0.15483087210163135,1.0,27.0,0.2607986960065199,False
2,3,Jerry Rice,0.15069231175458647,7.0,19.0,0.0456397718011409,False
2,3,Giselle Fernandez,0.05921839367029852,5.0,22.0,0.0162999185004074,True
2,3,Master P,0.1436677829053142,8.0,14.0,0.0285248573757131,False
2,3,Drew Lachey,0.1225274388862049,1.0,27.0,0.0254515599343185,False
2,4,Tia Carrere,0.1430114680908165,4.0,25.0,0.0146699266503667,False
2,4,George Hamilton,0.14962612762910152,6.0,21.0,0.0435139573070607,False
2,4,Lisa Rinna,0.15728818964981248,2.0,26.0,0.0911330049261083,False
2,4,Stacy Keibler,0.18295031451546132,2.0,26.0,0.2607986960065199,False
2,4,Jerry Rice,0.14793466153318563,5.0,24.0,0.0456397718011409,False
2,4,Master P,0.06600945130550537,7.0,8.0,0.0285248573757131,True
2,4,Drew Lachey,0.1531797872761143,1.0,28.0,0.0254515599343185,False
2,5,Tia Carrere,0.11071155542402035,6.0,22.0,0.0146699266503667,True
2,5,George Hamilton,0.16333921957846242,4.0,24.0,0.0435139573070607,False
2,5,Lisa Rinna,0.17166389416632635,3.0,25.0,0.0911330049261083,False
2,5,Stacy Keibler,0.21753468424879546,1.0,30.0,0.2607986960065199,False
2,5,Jerry Rice,0.17072149078329374,5.0,23.0,0.0456397718011409,False
2,5,Drew Lachey,0.1660291557990985,2.0,27.0,0.0254515599343185,False
2,6,George Hamilton,0.12435793271865117,4.0,23.0,0.0435139573070607,True
2,6,Lisa Rinna,0.2082235567316142,3.0,27.0,0.0911330049261083,False
2,6,Stacy Keibler,0.24778166438209068,1.0,30.0,0.2607986960065199,False
2,6,Jerry Rice,0.21781656115649994,4.0,23.0,0.0456397718011409,False
2,6,Drew Lachey,0.20182028501113758,1.0,30.0,0.0254515599343185,False
2,7,Lisa Rinna,0.17887804845006208,3.0,26.5,0.0911330049261083,True
2,7,Stacy Keibler,0.29781381043998373,1.0,27.5,0.2607986960065199,False
2,7,Jerry Rice,0.2831271672585632,4.0,20.5,0.0456397718011409,False
2,7,Drew Lachey,0.24018097385139336,1.0,27.5,0.0254515599343185,False
