season,week,actual_elim,rank_pred,pct_pred,var_rank_judge,var_rank_fan,var_pct_judge,var_pct_fan,rank_obeys_fan,pct_obeys_fan,rank_correct,pct_correct
1,1,,Evander Holyfield,Evander Holyfield,3.8055555555555554,2.9166666666666665,0.0005166979958664161,0.0015545140138140947,True,True,False,False
1,2,Trista Sutter,Trista Sutter,Trista Sutter,2.9166666666666665,2.9166666666666665,0.0011250749417541304,0.0028209407908064404,True,True,True,True
1,3,Evander Holyfield,Evander Holyfield,Evander Holyfield,2.0,2.0,0.0017586329654681384,0.004326736533601307,True,True,True,True
1,4,Rachel Hunter,Rachel Hunter,Rachel Hunter,1.25,1.25,0.0007679584120982984,0.003605680880219511,True,True,True,True
1,5,,Joey McIntyre,Joey McIntyre,0.6666666666666666,0.6666666666666666,0.000698484185067033,0.00889959309273365,True,True,False,False
1,6,,John O'Hurley,John O'Hurley,0.25,0.25,2.1041999831663748e-05,0.019271162339692345,True,True,False,False
2,1,Kenny Mayne,Kenny Mayne,Kenny Mayne,8.84,8.25,0.00040631163708086784,0.0004107296261443421,True,True,True,True
2,2,Tatum O'Neal,Tatum O'Neal,Tatum O'Neal,6.54320987654321,6.666666666666667,0.0003987654320987653,0.0005244724888594678,True,True,True,True
2,3,Giselle Fernandez,Giselle Fernandez,Giselle Fernandez,5.6875,5.25,0.0005415257819103973,0.0007968570519300571,True,True,True,True
2,4,Master P,Master P,Master P,4.408163265306122,4.0,0.001577782210464702,0.001135184662003217,True,True,True,True
2,5,Tia Carrere,Tia Carrere,Tia Carrere,2.9166666666666665,2.9166666666666665,0.0003130954295376907,0.0009631659004439713,True,True,True,True
2,6,George Hamilton,George Hamilton,George Hamilton,1.8399999999999999,2.0,0.0005562779128271807,0.0016808315188742168,True,True,True,True
2,7,Lisa Rinna,Lisa Rinna,Lisa Rinna,1.6875,1.25,0.0008169934640522873,0.002146889548477091,True,True,True,True
2,8,,Jerry Rice,Jerry Rice,0.6666666666666666,0.6666666666666666,0.000149269779709241,0.001265416600264811,True,True,False,False
3,1,Tucker Carlson,Tucker Carlson,Tucker Carlson,10.446280991735538,10.0,0.00035232090476596775,0.0003211801381602685,True,True,True,True
3,2,Shanna Moakler,Shanna Moakler,Shanna Moakler,7.090000000000001,8.25,0.00014366729678638935,0.00044488803807094895,True,True,True,True
3,3,Harry Hamlin,Emmitt Smith,Harry Hamlin,6.617283950617284,6.666666666666667,0.00015558511672773373,0.0006391793484662026,False,True,False,True
3,4,Vivica A. Fox,Vivica A. Fox,Vivica A. Fox,4.859375,5.25,0.00020884348535863683,0.0007998655752005437,True,True,True,True
3,5,Willa Ford,Jerry Springer,Willa Ford,5.428571428571429,4.0,5.6064671221194515e-05,0.0011103088453150408,False,True,False,True
3,6,,Jerry Springer,Jerry Springer,2.0,2.0,0.0007641482332663026,0.00042401322686190296,True,True,False,False
3,7,Jerry Springer,Jerry Springer,Jerry Springer,2.56,2.0,0.00023593964334705074,0.001688992178376037,True,True,True,True
3,8,Monique Coleman,Monique Coleman,Monique Coleman,1.1875,1.25,4.7344499621243845e-05,0.0036947720624244296,True,True,True,True
3,9,,Emmitt Smith,Emmitt Smith,0.0,0.6666666666666666,0.0,0.00020331236651420102,True,True,False,False
3,10,,Emmitt Smith,Emmitt Smith,0.0,0.25,0.0,0.0006985393221057535,True,True,False,False
4,1,,Billy Ray Cyrus,Billy Ray Cyrus,10.512396694214875,10.0,0.0002446075334446272,5.767264624946052e-05,True,True,False,False
4,2,Paulina Porizkova,Shandi Finnessey,Paulina Porizkova,8.776859504132231,10.0,0.00010932084083422538,0.0003082872946569425,False,True,False,True
4,3,Shandi Finnessey,John Ratzenberger,Shandi Finnessey,10.639999999999999,8.25,0.00012541031899671748,0.0004007220935818634,False,True,False,True
4,4,Leeza Gibbons,Clyde Drexler,Leeza Gibbons,5.950617283950617,6.666666666666667,0.0005321295441332375,0.00048889660601596,False,True,False,True
4,5,Clyde Drexler,Clyde Drexler,Clyde Drexler,5.25,5.25,0.0009523502066115701,0.000603920440154291,True,True,True,True
4,6,Heather Mills,Heather Mills,Heather Mills,4.6938775510204085,4.0,0.00037285502436268614,0.0008992785990087333,True,True,True,True
4,7,John Ratzenberger,John Ratzenberger,John Ratzenberger,3.472222222222222,2.9166666666666665,0.0006100690189671246,0.001262184359261481,True,True,True,True
4,8,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,2.0,2.0,0.0007961778384470087,0.00152506404552688,True,True,True,True
4,9,Ian Ziering,Ian Ziering,Ian Ziering,1.6875,1.25,1.2239847602770234e-05,0.003401036977838537,True,True,True,True
4,10,,Laila Ali,Laila Ali,0.6666666666666666,0.6666666666666666,2.318977647853017e-05,1.9340640904854945e-06,False,False,False,False
5,1,Josie Maran,Josie Maran,Josie Maran,11.576388888888891,11.916666666666666,0.00011975536680679831,0.00020493322511614632,True,True,True,True
5,2,Albert Reed,Albert Reed,Albert Reed,8.264462809917354,10.0,0.00018383629582119671,0.0003443387527779394,True,True,True,True
5,3,Wayne Newton,Wayne Newton,Wayne Newton,10.49,8.25,0.0001696398872568758,0.00031223254605369956,True,True,True,True
5,4,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,7.111111111111111,6.666666666666667,8.928498956988984e-05,0.00045156865228978,True,True,True,True
5,5,Mark Cuban,Mark Cuban,Mark Cuban,4.6875,5.25,0.00019846405393803186,0.0005471596015372706,True,True,True,True
5,6,Sabrina Bryan,Sabrina Bryan,Sabrina Bryan,3.8367346938775517,4.0,0.0002091206853111615,0.0009188645820238383,True,True,True,True
5,7,Jane Seymour,Jane Seymour,Jane Seymour,2.888888888888889,2.9166666666666665,1.712141135218055e-05,0.0013031378653003385,True,True,True,True
5,8,Cameron Mathison,Cameron Mathison,Cameron Mathison,2.0,2.0,0.0001538261359857739,0.0021846340489262723,True,True,True,True
5,9,Jennie Garth,Jennie Garth,Jennie Garth,1.6875,1.25,5.022280663306283e-05,0.0035995744002057604,True,True,True,True
5,10,,Helio Castroneves,Marie Osmond,0.6666666666666666,0.6666666666666666,0.0009454386370964388,4.975053024043686e-05,True,False,False,False
6,1,,Monica Seles,Monica Seles,11.576388888888888,11.916666666666666,0.00023179901437788948,0.0024813871577046447,False,False,False,False
6,2,Monica Seles,Monica Seles,Monica Seles,13.020833333333334,11.916666666666666,0.00024592432217831545,0.00256248267295874,True,True,True,True
6,3,Steve Guttenberg,Steve Guttenberg,Steve Guttenberg,5.890000000000001,8.25,0.00011849799938442595,0.0033064967024561617,True,True,True,True
6,4,Adam Carolla,Adam Carolla,Adam Carolla,6.691358024691358,6.666666666666667,0.0001975308641975308,0.004040610713781991,True,True,True,True
6,5,Priscilla Presley,Priscilla Presley,Priscilla Presley,5.4375,5.25,0.00018221574344023315,0.005809101322812345,True,True,True,True
6,6,Marlee Matlin,Marlee Matlin,Marlee Matlin,3.5510204081632653,4.0,0.00023557571176618787,0.007815983332898027,True,True,True,True
6,7,Shannon Elizabeth,Shannon Elizabeth,Shannon Elizabeth,2.555555555555556,2.9166666666666665,8.640462500392742e-05,0.010241061988750784,True,True,True,True
6,8,Mario,Mario,Mario,2.0,2.0,8.192007182033682e-05,0.0005545763248566684,True,True,True,True
6,9,Marissa Jaret Winokur,Marissa Jaret Winokur,Marissa Jaret Winokur,1.25,1.25,7.231404958677685e-05,0.0033619113522973445,True,True,True,True
6,10,,Cristian de la Fuente,Cristian de la Fuente,0.6666666666666666,0.6666666666666666,0.00038125026745873303,0.0003057658536106225,True,True,False,False
7,1,Ted McGinley,Rocco DiSpirito,Ted McGinley,13.597633136094675,14.0,0.00014605612133084661,0.00042637881103760273,False,True,False,True
7,2,Kim Kardashian,Kim Kardashian,Kim Kardashian,11.322314049586778,10.0,0.00017665689018557605,0.0001748305799813795,True,True,True,True
7,3,,Cloris Leachman,Cloris Leachman,6.395061728395062,6.666666666666667,0.0002550128893739744,0.00012934330477360717,True,True,False,False
7,4,Rocco DiSpirito,Rocco DiSpirito,Rocco DiSpirito,6.691358024691358,6.666666666666667,0.00014619843621598903,0.0004548304164708265,True,True,True,True
